15,15,0,0,0,14,



00,01,05,05,03,01,00,02,00,01,03,05,05,01,00

00,00,05,05,05,05,05,01,05,05,05,05,05,00,00

05,00,05,05,01,05,00,01,00,05,01,05,05,00,05

00,00,05,01,01,01,03,00,03,01,01,01,05,00,00

00,01,00,05,05,05,00,01,00,05,05,05,00,01,00

00,00,01,00,01,01,03,00,03,01,01,00,01,00,00

00,01,01,01,01,01,00,01,00,01,01,01,01,01,00

03,00,00,01,01,01,00,01,00,01,01,01,00,00,03

05,05,05,00,01,05,01,01,01,05,01,00,05,05,05

04,00,05,00,05,01,00,01,00,01,05,00,05,00,04

00,01,00,01,05,01,00,01,00,01,05,01,00,01,00

00,01,01,01,05,01,00,00,00,01,05,01,01,01,00

00,00,05,00,03,00,00,01,00,00,03,00,05,00,00

00,05,00,00,00,01,01,00,01,01,00,00,00,05,00

00,00,05,05,00,00,01,04,01,00,00,05,05,00,00
